user_id,inf,weibo_num,focus_num,fans_num
巍岳钦禹,??男/其他    ??    ,41042,4921,7897496
市说新语,??男/北京    ??    ,4583,80,335840
福山雅治,??男/海外    ??    ,438,11,5452383
荆楚网,??女/湖北    ??    ,106480,255,3318572
福布斯中文网,??男/上海    ??    ,69840,525,1916559
一张刘上士,??男/湖北    ??    ,4099,614,3563138
清南师兄,??男/北京    ??    ,61973,402,7011341
Kevin在纽约,??男/海外    ??    ,8733,96,491414
航运漫画家K老师,??男/北京    ??    ,112,155,137647
posyparty,??女/北京    ??    ,4040,552,186167
扬帆计划,??女/北京    ??    ,21165,2085,888187
Hazel,??女/海外    ??    ,3185,39,343626
开心_angel,??女/北京    ??    ,8501,846,6807781
龚凯杰,??男/上海    ??    ,37888,1004,2396491
小羊爱吃酱肘子,??女/其他    ??    ,15081,1017,9116500
新浪羽毛球,??男/北京    ??    ,32315,251,3867189
徐文兵,??男/北京    ??    ,16205,1610,2203430
北京全搜罗,??男/北京    ??    ,17878,1229,5120011
读着卡卡的滞销小说入睡,??男/海外    ??    ,2837,965,2098
中国日报网,??男/北京    ??    ,51966,208,5168781
史上第一最牛逼,??男/福建    ??    ,56122,471,3055728
大麦官博,??男/北京    ??    ,25125,1518,4305977
浅光ShallowBlue,??男/海外    ??    ,30077,51,513712
努力在圣克拉拉,??女/海外    ??    ,1767,208,4359
沙雕信箱,??男/重庆    ??    ,35614,267,1080982
上海科技,??男/上海    ??    ,15916,201,70552
央广军事,??男/北京    ??    ,93480,483,14784479
凯雷,??男/北京    ??    ,43129,5130,1482276
DS北风,??男/浙江    ??    ,60195,2503,9139813
日本流行每日速报,??女/海外    ??    ,47275,3777,3477366
但斌,??男/广东    ??    ,230335,1293,13746248
馨妈灰灰,??女/广东    ??    ,3265,2425,1637407
赵盛烨,??男/辽宁    ??    ,11660,2709,3405623
烹小鲜MCN,??男/北京    ??    ,699,922,1716258
每天都有新实习,??女/北京    ??    ,72980,1021,1296633
大徐说,??男/其他    ??    ,8998,1280,81296
交广阿泰,??男/湖北    ??    ,29663,1955,1691368
黄芷渊,??女/香港    ??    ,4658,413,1334455
Theo奥西,??男/海外    ??    ,595,831,724118
苏俄转播,??男/北京    ??    ,8244,472,276575
微天下,??男/北京    ??    ,165621,1172,26554134
好茶贪香又恋花,??男/其他    ??    ,122929,621,3083385
最高人民法院,??男/北京    ??    ,26543,125,18244778
嘟嘟酱啊啊啊,??女/四川    ??    ,1526,255,1956342
界面新闻,??男/北京    ??    ,61708,828,10126006
妖天才_,??女/广东    ??    ,33260,629,36236
加拿大大使馆官方微博,??男/北京    ??    ,11872,1620,2559255
pinklu卢小彧,??女/上海    ??    ,10043,3038,2231729
漆园隐吏在巴黎,??男/海外    ??    ,15852,964,524818
中国长安网,??男/北京    ??    ,41027,1145,13492250
PIAGET伯爵,??男/海外    ??    ,3258,34,825572
雅迷糊糊??女/湖北    ??    , 我在,91,38,107
BIGWUGOD,??男/湖北    ??    ,335,234,1630070
今事,??男/北京    ??    ,24211,1289,233172
野驴叔叔,??男/上海    ??    ,112404,1591,1601215
校园新鲜论,??男/甘肃    ??    ,665,657,23458
学点英语口语,??男/广东    ??    ,21866,171,4326108
